,Dataset,Best Model,Accuracy,ROC AUC,F1 Score
0,Psy_df,ExtraTreesClassifier(),0.9742857142857142,0.9777219308469309,0.974495880035134
1,KP_df,ExtraTreesClassifier(),0.97,0.9718136750160742,0.970098035097925
2,LMFAO_df,GradientBoostingClassifier(),0.9686011275546159,0.9707747851812665,0.9687158387275654
3,Eminem_df,RandomForestClassifier(),0.9642159971811134,0.9671099143278189,0.9643665758239142
4,shakira_df,PassiveAggressiveClassifier(),0.9632646896367825,0.9649720793319293,0.9633265010345713
5,all_df,LGBMClassifier(),0.9618902938670381,0.9633893027965222,0.961951466085525
6,all_df,BERT,0.9723926380368099,0.9721333967531169,0.9723840517847968
