,Dataset,Best Model,Accuracy,ROC,F1 Score
0,Psy_df,ExtraTreesClassifier,0.9809523809523809,0.9808114035087718,0.9809523809523809
0,KP_df,ExtraTreesClassifier,0.9619047619047619,0.9617198838896952,0.961884012864405
0,LMFAO_df,GradientBoostingClassifier,0.9696969696969697,0.9692095588235294,0.9696760566325784
0,Eminem_df,RandomForestClassifier,0.9703703703703703,0.9733333333333334,0.970442382285069
0,shakira_df,PassiveAggressiveClassifier,0.9819819819819819,0.9803921568627452,0.9819494904740806
0,all_df,LGBMClassifier,0.9540034071550255,0.954914405496681,0.9540357572297702
